,Y0,Ymax,Nymax,Jprob
91,0.0,1.5,170.0,6.797052312252945e-11
92,0.0,1.5,180.0,5.998297891077474e-11
93,0.0,1.5,190.0,5.351815256656691e-11
94,0.0,1.5,200.0,4.829415736191532e-11
95,0.0,1.5,210.0,4.3902291579836306e-11
96,0.0,1.5,220.0,4.0039401839863555e-11
97,0.0,1.5,230.0,3.664044195478925e-11
98,0.0,1.5,240.0,3.365530621999422e-11
99,0.0,1.5,250.0,3.103959298104231e-11
100,0.0,2.0,10.0,7.441261630178581e-09
101,0.0,2.0,20.0,7.441261630178581e-09
102,0.0,2.0,30.0,7.441261630178581e-09
103,0.0,2.0,40.0,7.441261630178581e-09
104,0.0,2.0,50.0,7.441261630178581e-09
105,0.0,2.0,60.0,6.373747551357773e-09
106,0.0,2.0,70.0,4.817817283571882e-09
107,0.0,2.0,80.0,3.673693269127557e-09
108,0.0,2.0,90.0,2.9440936847613614e-09
109,0.0,2.0,100.0,2.4949325781735593e-09
110,0.0,2.0,110.0,2.1046551256597226e-09
111,0.0,2.0,120.0,1.7120129818676043e-09
112,0.0,2.0,130.0,1.379955508762526e-09
113,0.0,2.0,140.0,1.1201370197248805e-09
114,0.0,2.0,150.0,9.237932913304328e-10
115,0.0,2.0,160.0,7.683090089849467e-10
116,0.0,2.0,170.0,6.395682708239704e-10
117,0.0,2.0,180.0,5.353158243546926e-10
118,0.0,2.0,190.0,4.5210032909161894e-10
119,0.0,2.0,200.0,3.8618930667097953e-10
120,0.0,2.0,210.0,3.3083034907093477e-10
121,0.0,2.0,220.0,2.819700257733895e-10
122,0.0,2.0,230.0,2.397105128818716e-10
123,0.0,2.0,240.0,2.0372987765566066e-10
124,0.0,2.0,250.0,1.734395035614554e-10
125,0.0,2.5,10.0,1.1628844794667226e-07
126,0.0,2.5,20.0,1.1628844794667226e-07
127,0.0,2.5,30.0,1.1628844794667226e-07
128,0.0,2.5,40.0,1.1628844794667226e-07
129,0.0,2.5,50.0,1.1628844794667226e-07
130,0.0,2.5,60.0,1.00091242730795e-07
