,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500
100,0.999999997847,0.999999949944,0.999999317396,0.999988870598,0.999821098078,0.998789024144,0.992955651291,0.978158006642,0.942857935719,0.88653898004,0.809857247203,0.725251441079,0.634994029953,0.548276654227,0.466138600775,0.396509776887,0.337968352673,0.289143071252,0.247612045346,0.21353154168,0.184715174858,0.159331525297,0.136676920486,0.117180770522,0.10048961849,0.0849793290287
110,0.999999996072,0.999999940344,0.999998920378,0.999987873336,0.99984152113,0.998748622824,0.99362608693,0.978975543881,0.946143461617,0.887848701494,0.816134452265,0.733216542334,0.646939012894,0.559705551038,0.479307164964,0.409928331774,0.349614931478,0.298889812787,0.260501762712,0.225629959054,0.196368005441,0.169356581937,0.1465654486,0.12606571656,0.108133825906,0.0913650013256
120,0.999999995541,0.999999911119,0.999998761539,0.999985019128,0.999853890851,0.998840813367,0.994091674093,0.980302284878,0.945520591881,0.892324435389,0.822225118022,0.740489365245,0.657006401107,0.57107038292,0.490981596214,0.421265095851,0.360490121517,0.310211041884,0.268762745646,0.235133501465,0.205380758163,0.178795952876,0.155361326448,0.134174780998,0.114752917482,0.0982233479299
130,0.999999994133,0.999999900837,0.999998705922,0.999983989413,0.999854356748,0.998897407119,0.994045553918,0.979890400768,0.946262109395,0.892211048407,0.825706899538,0.744892030399,0.664210944097,0.57625752056,0.499614408611,0.42771187124,0.368771601695,0.31883188664,0.276875139702,0.243259721788,0.212718421701,0.185566812945,0.161685749693,0.140025420544,0.120995450549,0.104022562136
140,0.999999992492,0.999999896144,0.999998668163,0.99998307877,0.999817528914,0.998775374919,0.994074533043,0.978152570963,0.943698868269,0.894446710412,0.828087095368,0.748609649582,0.664822213168,0.582586665975,0.506613321081,0.434924334629,0.373494891855,0.325067083683,0.283875337202,0.248128868824,0.218131341649,0.191433802395,0.165869519362,0.145606295888,0.125707973864,0.108784081416
150,0.999999991127,0.999999857945,0.999998561126,0.999982724823,0.999815512446,0.998423220267,0.993445352392,0.977875811455,0.944443115459,0.893830698402,0.825893680411,0.751878690168,0.66681622214,0.587432571067,0.508255971876,0.439009571717,0.379019205709,0.330273716642,0.288172310253,0.252590772072,0.223435607673,0.194276277457,0.170665886919,0.149934220829,0.130093332772,0.112832482447
160,0.999999989948,0.999999802991,0.999997173709,0.999973428391,0.999758038271,0.99838973122,0.992838411255,0.97784868684,0.94471753213,0.892177060081,0.824328327387,0.750315622915,0.668537085199,0.587209643806,0.507655044027,0.441290524651,0.381951908012,0.332820093386,0.291204159007,0.254894863788,0.224124054913,0.197888126066,0.173957416913,0.152269057828,0.133246992464,0.115317617028
170,0.99999998653,0.999999793222,0.999997097608,0.999966585255,0.999756823772,0.998392634505,0.992649521997,0.974676919142,0.944831407516,0.892703246301,0.82412255798,0.739825885971,0.664211258999,0.579251427377,0.510401967769,0.442193033247,0.384583800312,0.335971048187,0.292200143508,0.256588383832,0.225836481589,0.199202768724,0.176892635552,0.154331913335,0.135085658538,0.117172061609
180,0.999999985191,0.999999754112,0.999997029733,0.999965250709,0.999711377907,0.998301713929,0.992658327025,0.974490081829,0.941550457041,0.888916681283,0.817557583676,0.740188097439,0.662576850708,0.579590811592,0.507624003307,0.442007405959,0.384476212699,0.333883772423,0.293464618819,0.258891473259,0.227316336168,0.200933190362,0.17881011517,0.156027969515,0.136040709867,0.118284709278
190,0.999999980394,0.999999748391,0.99999680511,0.999964283872,0.999692995988,0.997808115136,0.992480253912,0.972760728022,0.936044021029,0.884235088798,0.817889478758,0.738693810777,0.656518646386,0.579630547702,0.508916735397,0.439782583582,0.38117331757,0.3328118224,0.293508679142,0.257674392242,0.228559503289,0.201485442029,0.178348119761,0.156709848006,0.137510140883,0.119161221006
200,0.99999997883,0.999999667422,0.99999657521,0.999947888181,0.99968533702,0.997586904314,0.990507858729,0.97246450976,0.935869166547,0.878742449858,0.817488780969,0.739039994701,0.656675599607,0.579535069338,0.509316840755,0.435929625532,0.381690107622,0.333845147168,0.294095037852,0.257997542629,0.228733645012,0.201739021216,0.178560149891,0.15768066939,0.13849016403,0.120096667749
