,Y0,Ymax,Nymax,Jprob
89,0.0,1.5,150.0,1.9135838294934932e-05
90,0.0,1.5,160.0,1.8868774082646997e-05
91,0.0,1.5,170.0,1.8610443837557184e-05
92,0.0,1.5,180.0,1.8364084078704833e-05
93,0.0,1.5,190.0,1.8131299281317007e-05
94,0.0,1.5,200.0,1.7912648851251073e-05
95,0.0,1.5,210.0,1.7705461242563912e-05
96,0.0,1.5,220.0,1.7507487603990503e-05
97,0.0,1.5,230.0,1.7319097689275314e-05
98,0.0,1.5,240.0,1.7140358577641594e-05
99,0.0,1.5,250.0,1.6971125184872573e-05
100,0.0,2.0,10.0,2.7967328226802964e-05
101,0.0,2.0,20.0,2.7967328226802964e-05
102,0.0,2.0,30.0,2.7967328226802964e-05
103,0.0,2.0,40.0,2.7967328226802964e-05
104,0.0,2.0,50.0,2.7967328226802964e-05
105,0.0,2.0,60.0,2.7643942081212526e-05
106,0.0,2.0,70.0,2.7031622787817508e-05
107,0.0,2.0,80.0,2.6383598810374036e-05
108,0.0,2.0,90.0,2.5781526996415798e-05
109,0.0,2.0,100.0,2.5246820463209147e-05
110,0.0,2.0,110.0,2.4725137239571617e-05
111,0.0,2.0,120.0,2.4192212229025273e-05
112,0.0,2.0,130.0,2.3677530689732045e-05
113,0.0,2.0,140.0,2.3194903331031218e-05
114,0.0,2.0,150.0,2.2749579369639553e-05
115,0.0,2.0,160.0,2.2325998511398934e-05
116,0.0,2.0,170.0,2.1914070311045052e-05
117,0.0,2.0,180.0,2.1520273589978015e-05
118,0.0,2.0,190.0,2.114799937374268e-05
119,0.0,2.0,200.0,2.0798633359763442e-05
120,0.0,2.0,210.0,2.0466606005344146e-05
121,0.0,2.0,220.0,2.0147480513821802e-05
122,0.0,2.0,230.0,1.9842632864688397e-05
123,0.0,2.0,240.0,1.9552726579742368e-05
124,0.0,2.0,250.0,1.927791380402185e-05
125,0.0,2.5,10.0,3.512075599906036e-05
126,0.0,2.5,20.0,3.512075599906036e-05
127,0.0,2.5,30.0,3.512075599906036e-05
128,0.0,2.5,40.0,3.512075599906036e-05
129,0.0,2.5,50.0,3.512075599906036e-05
130,0.0,2.5,60.0,3.464631608072716e-05
131,0.0,2.5,70.0,3.3748028165925914e-05
132,0.0,2.5,80.0,3.2798438667605645e-05
133,0.0,2.5,90.0,3.1918385719975364e-05
134,0.0,2.5,100.0,3.113962181866469e-05
135,0.0,2.5,110.0,3.0375449441751593e-05
136,0.0,2.5,120.0,2.9587720465114173e-05
137,0.0,2.5,130.0,2.882425603810139e-05
138,0.0,2.5,140.0,2.8107915947249027e-05
139,0.0,2.5,150.0,2.744773748448768e-05
140,0.0,2.5,160.0,2.6817517982782576e-05
141,0.0,2.5,170.0,2.6200691591778054e-05
142,0.0,2.5,180.0,2.5609069512818734e-05
143,0.0,2.5,190.0,2.5049086064621647e-05
144,0.0,2.5,200.0,2.4523645265146293e-05
145,0.0,2.5,210.0,2.402258491021691e-05
146,0.0,2.5,220.0,2.3538150595503428e-05
147,0.0,2.5,230.0,2.3073657984223135e-05
148,0.0,2.5,240.0,2.26309770209355e-05
149,0.0,2.5,250.0,2.2210930087493645e-05
150,0.0,3.0,10.0,4.4106480110662314e-05
151,0.0,3.0,20.0,4.4106480110662314e-05
152,0.0,3.0,30.0,4.4106480110662314e-05
153,0.0,3.0,40.0,4.4106480110662314e-05
154,0.0,3.0,50.0,4.4106480110662314e-05
155,0.0,3.0,60.0,4.346291803557917e-05
156,0.0,3.0,70.0,4.2239870693800316e-05
157,0.0,3.0,80.0,4.0942070913369356e-05
158,0.0,3.0,90.0,3.9736673829797224e-05
159,0.0,3.0,100.0,3.866950995103441e-05
160,0.0,3.0,110.0,3.761268120379744e-05
161,0.0,3.0,120.0,3.651054144359767e-05
162,0.0,3.0,130.0,3.543600089509751e-05
163,0.0,3.0,140.0,3.4424892792519405e-05
164,0.0,3.0,150.0,3.3492186083793086e-05
165,0.0,3.0,160.0,3.259703287757512e-05
166,0.0,3.0,170.0,3.1714201546418086e-05
167,0.0,3.0,180.0,3.08637241806055e-05
168,0.0,3.0,190.0,3.0056888471611225e-05
169,0.0,3.0,200.0,2.929918418646923e-05
170,0.0,3.0,210.0,2.8573742980496905e-05
171,0.0,3.0,220.0,2.7868145633033652e-05
172,0.0,3.0,230.0,2.718902171978149e-05
173,0.0,3.0,240.0,2.654035860183455e-05
174,0.0,3.0,250.0,2.592422076987881e-05
175,0.0,3.5,10.0,5.496254674594361e-05
176,0.0,3.5,20.0,5.496254674594361e-05
177,0.0,3.5,30.0,5.496254674594361e-05
178,0.0,3.5,40.0,5.496254674594361e-05
179,0.0,3.5,50.0,5.496254674594361e-05
180,0.0,3.5,60.0,5.415759407620122e-05
181,0.0,3.5,70.0,5.261480757334858e-05
182,0.0,3.5,80.0,5.096129915836277e-05
183,0.0,3.5,90.0,4.941299257418909e-05
184,0.0,3.5,100.0,4.803439718766742e-05
185,0.0,3.5,110.0,4.665085184768841e-05
186,0.0,3.5,120.0,4.5186862496740936e-05
187,0.0,3.5,130.0,4.374696175798089e-05
188,0.0,3.5,140.0,4.23843757003259e-05
189,0.0,3.5,150.0,4.112291017504029e-05
190,0.0,3.5,160.0,3.990328463937441e-05
191,0.0,3.5,170.0,3.8689617663658374e-05
192,0.0,3.5,180.0,3.751371993564366e-05
193,0.0,3.5,190.0,3.639410161978308e-05
